Column1,Column2
the_calling,"['Alternative_rock', 'Post-grunge']"
the_darkness,
guns_n'_roses,"['Heavy_metal_music', 'Hard_rock']"
alpha_quadrant,
dark_fortress,"['Progressive_black_metal', 'Melodic_black_metal']"
cryo,
front_line_assembly,"['Electronic_body_music', 'Industrial_metal', 'Industrial_Music', 'Electro-industrial']"
mayhem,
x-dream,
haujobb,"['Progressive_house', 'Industrial_music', 'Electro-industrial', 'Breakbeat', 'Intelligent_dance_music', 'Techno', 'Ambient_music', 'Drum_and_bass']"
overkill,
bolt_thrower,"['Grindcore', 'Death_metal']"
satyricon,
marduk,
sodom,
secrets_of_the_moon,"['Doom_metal', 'Black_metal']"
tristania,
carcass,
headscan,"['Electro-industrial', 'Alternative_dance', 'Electronic_body_music', 'Electronica', 'List_of_post-industrial_music_genres_and_related_fusion_genres', 'Industrial_music']"
unanimated,"['Melodic_black_metal', 'Melodic_death_metal', 'Melodic_black/death']"
nocte_obducta,"['Avant-garde_metal', 'Black_metal']"
love_like_blood,
freq,
tactical_sekt,
novembers_doom,"['Progressive_metal', 'Death-doom']"
electric_universe,
vinterland,
sepultura,"['Groove_metal', 'Thrash_metal', 'Death_metal', 'Black_metal', 'Alternative_metal']"
samael,
immortal,
velvet_acid_christ,"['Electro-industrial', 'Electronic_Body_Music']"
yelworc,
x-marks_the_pedwalk,
orange_sector,['Electronic_body_music']
cannibal_corpse,['Death_metal']
forma_tadre,"['Industrial_music', 'Neue_Deutsche_Welle', 'Electronic_music', 'Electronic_body_music', 'Ambient_music']"
blue_planet_corporation,
necrophobic,['Blackened_death_metal']
talamasca,
devourment,['Death_metal']
unlord,['Black_metal']
atmos,
helrunar,"['Viking_metal', 'Pagan_metal', 'Black_metal']"
messiah,
withershin,
mind.in.a.box,
absurd_minds,
rotersand,"['Synthpop', 'Electro_music', 'Electronic_Body_Music']"
vnv_nation,"['Futurepop', 'Synth-pop', 'Electronic_body_music']"
seabound,"['Synthpop', 'Downtempo', 'Futurepop', 'Techno', 'Trance_music']"
colony_5,"['Futurepop', 'Synthpop', 'Electronic_body_music']"
apoptygma_berzerk,"['Futurepop', 'Electronic_rock', 'Electronic_body_music', 'Synthpop']"
suicide_commando,"['Electro-industrial', 'Electronic_body_music']"
blutengel,"['Futurepop', 'Synthpop', 'Electronic_body_music', 'Darkwave']"
neuroticfish,"['Futurepop', 'Synthpop', 'Electronic_body_music']"
culture_kultür,
assemblage_23,"['Electro-industrial', 'Futurepop', 'Electronic_body_music', 'Synthpop']"
edge_of_dawn,['Futurepop']
cosmic_gate,"['Techno', 'Progressive_electronic_dance_music', 'Trance_music']"
above_&_beyond,
cesium:137,
ronski_speed,['Trance_music']
stoneface_&_terminal,
noisecontrollers,"['Hardstyle', 'Dutch_house']"
donkey_rollers,
pride_and_fall,"['Futurepop', 'Dark_wave']"
e-craft,
solitary_experiments,
wynardtage,
blutonium_boy,
p24,
sander_van_doorn,"['Progressive_house', 'Tech_trance', 'Electro_house']"
brooklyn_bounce,"['House_music', 'Progressive_house', 'Progressive_trance', 'Techno', 'Hard_trance']"
code_64,"['Futurepop', 'Trance_Music', 'Electropop', 'Electronic_body_music']"
lights_of_euphoria,"['Aggrotech', 'Electro-Industrial', 'Futurepop']"
echo_image,"['Futurepop', 'Synth-pop']"
sero.overdose,
a7ie,
spektralized,
negative_format,
noycetm,
angels_&_agony,
lost_signal,
4_strings,
accessory,
xp8,"['Synthpop', 'Electro_music', 'Futurepop', 'Techno']"
les_anges_de_la_nuit,
glis,"['Futurepop', 'Synthpop', 'Industrial_rock', 'Alternative_rock', 'Post-punk', 'Electro-industrial']"
bruderschaft,"['Futurepop', 'Synth-pop', 'Electronic_body_music']"
syrian,
nuclear_assault,"['Crossover_thrash', 'Thrash_metal']"
hammerfall,"['Heavy_metal_music', 'Power_metal']"
sonata_arctica,"['Progressive_metal', 'Power_metal', 'Symphonic_metal']"
iron_fire,"['Power_metal', 'Speed_metal']"
flotsam_and_jetsam,
gamma_ray,
queensrÿche,
annihilator,
armored_saint,['Heavy_metal_music']
grave_digger,
sabaton,
alestorm,"['Power_metal', 'Folk_metal', 'Heavy_metal_music', 'Pirate_metal', 'Hard_rock']"
rhapsody_of_fire,"['Neoclassical_metal', 'Symphonic_power_metal']"
edguy,"['Neoclassical_metal', 'Hard_rock', 'Power_metal']"
tenacious_d,
death_angel,['Thrash_metal']
running_wild,
mantic_ritual,"['Heavy_metal_music', 'Thrash_metal']"
jag_panzer,"['Heavy_metal_music', 'Power_metal', 'Speed_metal']"
heathen,
sacred_reich,['Thrash_metal']
judas_priest,['Heavy_metal_music']
tarot,
motörhead,
bloodbound,"['Heavy_metal_music', 'Power_metal']"
mekong_delta,
power_quest,['Power_metal']
exodus,
vicious_rumors,"['Heavy_metal_music', 'Power_metal']"
w.a.s.p.,
steel_attack,"['Heavy_metal_music', 'Power_metal']"
primal_fear,
black_sabbath,['Heavy_metal_music']
early_man,
wolf,
deep_purple,"['Heavy_metal_music', 'Hard_rock', 'Progressive_rock']"
agent_steel,"['Thrash_metal', 'Speed_metal', 'Heavy_metal_music', 'Power_metal']"
demons_&_wizards,
snow_patrol,"['Indie_rock', 'Post-Britpop', 'Power_pop', 'Alternative_rock']"
white_lies,
the_fray,"['Soft_rock', 'Pop_rock', 'Alternative_rock']"
jimmy_eat_world,"['Power_pop', 'Emo_pop', 'Alternative_rock', 'Emo', 'Pop_punk']"
hurts,"['Synth-pop', 'New_wave_music', 'Soft_rock']"
blue_october,"['Art_rock', 'Alternative_rock']"
starsailor,
david_gray,
imogen_heap,"['Ambient_music', 'Synth-pop', 'Alternative_rock', 'Electronic_music', 'Indie_pop']"
the_verve,"['Post-Britpop', 'Alternative_rock', 'Psychedelic_rock', 'Dream_pop', 'Shoegazing', 'Space_rock']"
thirteen_senses,"['Post-Britpop', 'Indie_rock', 'Alternative_rock']"
matthew_ryan,
the_little_heroes,
gary_jules,"['Soft_rock', 'Folk_music']"
eisley,"['Indie_pop', 'Indie_rock']"
vampire_weekend,
negativ,
lady_sovereign,"['Hip_hop_music', 'Grime_music', 'UK_garage']"
alenka_gotar,['Operatic_pop']
the_chemical_brothers,"['Big_beat', 'Techno', 'House_music', 'Trip_hop', 'Electronica']"
freemasons,
digitalism,
fatboy_slim,"['Acid_house', 'Trip_hop', 'Big_beat', 'Electronic_music', 'Alternative_rock', 'Nu-funk']"
justice,
armand_van_helden,"['Speed_garage', 'House_music', 'Big_beat', 'Breakbeat', 'Garage_house', 'Electronica', 'Nu-disco', 'Hip_hop_music']"
mgmt,"['Psychedelic_pop', 'Indie_rock', 'Neo-psychedelia', 'Psychedelic_rock', 'Synth-pop']"
deadmau5,"['Electronic_music', 'Progressive_house', 'Electro_house']"
ludacris,
martin_solveig,"['Electro_(music)', 'Future_house', 'Electropop', 'House_music', 'Electro_house', 'Trap_music_(EDM)']"
lone,
simian_mobile_disco,"['House_music', 'Tech_house', 'Electronica', 'Nu-disco', 'Electro_house']"
the_offspring,"['Skate_punk', 'Alternative_rock', 'Punk_rock', 'Pop_punk', 'Melodic_hardcore']"
michael_gray,
mstrkrft,"['Electro_house', 'Dance-punk']"
calvin_harris,
pendulum,
king_crimson,"['Art_rock', 'Post-progressive', 'Progressive_rock']"
led_zeppelin,"['Hard_rock', 'Heavy_metal_music', 'Blues_rock', 'Folk_rock']"
genesis,
paul_mccartney,
creedence_clearwater_revival,"['Southern_rock', 'Swamp_rock', 'Roots_rock', 'Blues_rock', 'Country_rock']"
george_harrison,
týr,
mogwai,"['Instrumental_rock', 'Post-rock', 'Space_rock']"
spirit,
terry_reid,"['Hard_rock', 'Blue-eyed_soul', 'Folk_rock']"
roberto_carlos,
grateful_dead,['Rock_music']
a_silver_mt._zion,
cat_power,"['Lo-fi_music', 'Alternative_rock', 'Indie_rock', 'Sadcore', 'Folk_rock', 'Electric_blues']"
david_gilmour,
the_jimi_hendrix_experience,
stevie_wonder,
dulce_maría,"['Latin_pop', 'Pop_music', 'Pop_rock']"
christian_chávez,
christopher_von_uckermann,"['Alternative_rock', 'Pop_music', 'Latin_pop']"
paty_cantú,"['Rock_music', 'Pop_music']"
tiziano_ferro,
daddy_yankee,
kazaky,"['Dance_music', 'Electronic_music', 'House_music', 'Synthpop']"
la_nueva_banda_timbiriche,
luis_fonsi,
chino_&_nacho,"['Reggaeton', 'M?sica_tropical', 'Merengue_music', 'Latin_pop']"
camila,
alexis_&_fido,['Reggaeton']
david_bisbal,['Latin_Pop']
eva_simons,"['Pop_music', 'Contemporary_R&B', 'Electronic_dance_music']"
gaby_sanchez,
wisin_&_yandel,['Reggaeton']
akon,
artists_for_haiti,
fanny_lú,
lady_antebellum,
ivy_queen,
pitbull,
kristinia_debarge,"['Contemporary_R&B', 'Pop_music', 'Soul_music']"
girlicious,
willow_smith,
selena_gomez,
jullie,"['Dance-pop', 'Pop_rock']"
b.o.b,
far_east_movement,"['Pop_music', 'Electronic_dance_music', 'Hip_hop_music']"
cherish,
miranda_cosgrove,
carrie_underwood,
rednex,"['Folktronica', 'Eurodance']"
big_time_rush,
gloriana,
amy_macdonald,"['Folk_rock', 'Indie_pop', 'Soft_rock']"
abba,"['Pop_rock', 'Disco', 'Pop_music']"
agnetha_fältskog,
jared_padalecki,
jensen_ackles,
kansas,
the_mamas_&_the_papas,
lifehouse,
mamma_mia!_brasil,
madonna_feat._gogol_bordello,
swedem,
mamma_mia!_film_cast,
ricky_martin,
based_on_abba,
per_gessle;_roxette,
b.j._thomas,
kim_carnes,"['Country_music', 'Soft_rock', 'Pop_rock', 'Folk_music']"
anni-frid_lyngstad,
matt_&_kim,
pataclaun,
riko,
cnet.com,
miike_snow,"['Indietronica', 'Indie_rock', 'Indie_pop', 'Alternative_dance', 'Synthpop']"
santigold,"['Alternative_dance', 'New_wave_music', 'Reggae_fusion', 'Electronic_music', 'Alternative_hip_hop', 'Indie_music']"
eileen,
time_machine,
reba_mcentire,
rockstar_games_©,
antonio_vivaldi,
the_virgins,"['Post-punk_revival', 'Indie_rock', 'Dance-punk', 'New_wave_music']"
chespirito,
rocío_dúrcal,
2009_names_in_vain,
amsterdam_guitar_trio,
just_jack,"['UK_garage', 'Hip_hop_music']"
los_fantasmas_del_caribe,
frankie_ruiz,['Salsa_music']
tito_el_bambino,"['Reggaeton', 'Salsa_music', 'Cumbia', 'Merengue_music', 'Latin_pop']"
caifanes,
rooney,
nadia_oh,"['Electro_house', 'Grime_(music)', 'Electropop', 'Ghettotech']"
sonic_youth,"['Noise_rock', 'Experimental_rock', 'No_wave', 'Alternative_rock']"
natalie_imbruglia,
valeria,
omarion,"['Pop_music', 'Contemporary_R&B', 'Hip_hop_music']"
starlight_mints,"['Indie_pop', 'Indie_rock']"
noel_gallagher,
black_rebel_motorcycle_club,"['Psychedelic_rock', 'Alternative_rock', 'Garage_rock_revival', 'Blues_rock', 'Indie_rock']"
paolo_nutini,"['Blue-eyed_soul', 'Contemporary_folk', 'Pop_rock', 'Soul_rock']"
the_last_shadow_puppets,['Baroque_pop']
ramones,"['Punk_rock', 'Pop_punk']"
the_courteeners,
the_fratellis,"['Garage_rock', 'Alternative_rock', 'Indie_rock', 'Post-punk_revival']"
the_enemy,
the_wombats,"['Pop_rock', 'Post-punk_revival', 'Indie_pop', 'Indie_rock', 'New_wave_music']"
mumford_&_sons,"['Folk_rock', 'Alternative_rock']"
ryan_adams,"['Alternative_country', 'Indie_rock', 'Folk_rock', 'Rock_music']"
the_hives,"['Garage_rock', 'Garage_punk_(fusion_genre)']"
morbid_angel,['Death_metal']
destruction,
tankard,
hirax,
artillery,
toxic_holocaust,"['Thrash_metal', 'Crossover_thrash']"
anthrax,
municipal_waste,
forbidden,
vio-lence,['Thrash_metal']
venom,
lich_king,
napalm_death,"['Crust_punk', 'Grindcore', 'Death_metal']"
the_sisters_of_mercy,"['Post-punk', 'Gothic_rock', 'New_wave_music']"
mercyful_fate,"['Black_metal', 'Gothic_metal', 'Heavy_metal_music']"
exumer,['Thrash_metal']
emicida,"['Música_popular_brasileira', 'Hip_hop_music']"
mortal_treason,"['Metalcore', 'Christian_metal', 'Melodic_death_metal', 'Deathcore', 'Hardcore_punk', 'Death_metal']"
chainsaw_disaster,
bleeding_through,"['Metalcore', 'Melodic_death_metal', 'Symphonic_black_metal']"
the_devil_wears_prada,
knights_of_the_abyss,['Deathcore']
immortal_technique,"['Political_hip_hop', 'Underground_hip_hop', 'Hardcore_hip_hop', 'Alternative_hip_hop', 'East_Coast_hip_hop']"
j._holiday,"['Contemporary_R&B', 'Hip_hop_music']"
raimundos,"['Alternative_metal', 'Hardcore_punk', 'Punk_rock']"
boysetsfire,"['Melodic_hardcore', 'Punk_rock', 'Post-hardcore', 'Emo']"
hatebreed,"['Metalcore', 'Hardcore_punk']"
wecamewithbrokenteeth,
waking_the_cadaver,"['Brutal_death_metal', 'Deathcore']"
impending_doom,"['Deathcore', 'Christian_metal']"
as_blood_runs_black,"['Deathcore', 'Melodic_metalcore']"
for_today,['Metalcore']
céu,"['Trip_hop', 'Música_popular_brasileira', 'World_music', 'Bossa_nova']"
abacabb,
job_for_a_cowboy,"['Death_metal', 'Technical_death_metal', 'Progressive_metal', 'Deathcore']"
joss_stone,"['Reggae', 'Blue-eyed_soul', 'Contemporary_R&B', 'Soul_music']"
carnifex,
provérbio_x,
the_irish_front,
facção_central,"['Rap', 'Gangsta_rap', 'Horrorcore', 'Political_hip_hop']"
beneath_the_massacre,"['Technical_death_metal', 'Deathcore']"
akissforjersey,['Post-hardcore']
annotations_of_an_autopsy,
e.town_concrete,"['Rap_metal', 'Alternative_metal', 'Hardcore_punk']"
brain_drill,['Technical_death_metal']
misericordiam,
rose_funeral,
see_you_next_tuesday,
straight_line_stitch,"['Nu_metal', 'Metalcore']"
belay_my_last,
??????,
serebro,
????_????????,
?????_??????,
??????&???????,
dan_balan,"['Pop_rock', 'Dance_music', 'Pop_music']"
????,
????_????????,
????'????,
paris_hilton,
???????_??????,
????,
?????,
love_spit_love,"['Post-grunge', 'Alternative_rock']"
panik,
???-??,
roma_kenga_?_?????_???????????,
tom_dice,['Acoustic_music']
s_club_7,"['Dance-pop', 'Teen_pop', 'Pop_music']"
skye_sweetnam,"['Alternative_rock', 'Pop_rock', 'Hard_rock', 'Pop_punk']"
holly_valance,
mis-teeq,"['Hip_hop_music', 'Contemporary_R&B', 'UK_garage']"
samantha_mumba,"['Contemporary_R&B', 'Dance-pop']"
"gina_rene,_gabriel_rene,_lindsay_lohan,_rachel_mcadams,_lacey_chabert,_&_amanda_seyfried",
eve,
christina_milian,
the_cheetah_girls,
allstars,
gareth_gates,
madison_avenue,
anastacia,"['Pop_rock', 'Dance-pop', 'Blue_eyed_soul']"
shayne_ward,
billie_piper,
jamelia,
black_milk,"['Soul_music', 'Hip_hop_music', 'Electronic_music']"
people_under_the_stairs,
constrobuz,
ugk,"['Southern_hip_hop', 'Hip_hop_music', 'Country_rap']"
lykke_li,"['Indie_pop', 'Dream_pop', 'Electropop', 'Art_pop', 'Dance-pop']"
jurassic_5,['Alternative_hip_hop']
zion_i,['Alternative_hip_hop']
g-side,['Hip_hop_music']
jay-z,
atmosphere,
killer_mike,['Hip_hop_music']
elzhi,
nappy_roots,['Hip_hop_music']
hieroglyphics,
blackalicious,"['Indie_hip_hop', 'West_Coast_hip_hop', 'Alternative_hip_hop']"
outkast,"['Southern_hip_hop', 'Hip_hop_music']"
masta_ace,['Hip_hop_music']
de_la_soul,"['Alternative_hip_hop', 'Jazz_rap', 'Hip_hop_music']"
jeru_the_damaja,['Hip_hop_music']
the_jacka,['West_Coast_hip_hop']
monsta_island_czars,['Hip_hop_music']
living_legends,
j_dilla,"['East_Coast_hip_hop', 'Soul_music', 'Instrumental_hip_hop', 'Hip_hop_music', 'Electronic_music', 'Sampledelia']"
das_efx,"['East_Coast_hip_hop', 'Hardcore_hip_hop']"
organized_konfusion,"['Alternative_hip_hop', 'Hardcore_hip_hop']"
jake_one,"['Hip_hop_music_in_the_Pacific_Northwest', 'Hip_hop_music', 'Trap_music']"
deltron_3030,['Hip_hop_music']
metric,
fleet_foxes,['Indie_folk']
souls_of_mischief,['West_Coast_hip_hop']
the_d.o.c.,"['Gangsta_rap', 'Hip_hop_music', 'West_Coast_hip_hop', 'G-funk']"
jedi_mind_tricks,"['Underground_hip_hop', 'Conscious_hip_hop', 'Hardcore_hip_hop']"
the_grouch_&_eligh,
pac_div,"['Underground_hip_hop', 'Hip_hop_music']"
jimi_hendrix,"['R&B', 'Rock_music', 'Blues', 'Hard_rock', 'Psychedelic_rock']"
gza/genius,
the_game,
aliados_13,
dave_matthews_band,"['Jam_band', 'Folk_rock', 'Alternative_rock', 'Indie_rock', 'Jazz_fusion', 'Funk_rock']"
brothers_of_brazil,
rancid,
outono_em_marte,
drapz,
the_baseballs,"['Rockabilly', 'Rock_and_roll']"
os_dissonantes,
anti-flag,"['Punk_rock', 'Anarcho_punk', 'Hardcore_punk', 'Pop_punk']"
cascadura,
the_wallflowers,"['Roots_rock', 'Alternative_rock', 'Rock_music']"
supla,"['Post-punk', 'New_wave_music', 'Punk_rock', 'Rock_music', 'Bossa_nova', 'Rockabilly']"
tequila_baby,
candlebox,"['Hard_rock', 'Grunge', 'Alternative_rock']"
motel,
mecanika!,
supercombo,
cine,
blind_melon,"['Folk_rock', 'Roots_rock', 'Grunge', 'Alternative_rock', 'Blues_rock', 'Psychedelic_rock']"
borderlinerz,
nenhum_de_nós,"['Brazilian_rock', 'Pop_rock', 'Alternative_rock']"
those_dancing_days,"['Indie_pop', 'Twee_pop']"
poléxia,
sanalejo,
udora,
mike_ness,"['Punk_rock', 'Alternative_country']"
matt_white,
faichecleres,
black_veil_brides,"['Heavy_metal_music', 'Metalcore', 'Gothic_rock', 'Glam_metal', 'Hard_rock']"
falling_in_reverse,"['Post-hardcore', 'Electronica', 'Hard_rock', 'Hip_hop_music', 'Metalcore', 'Emo', 'Pop_punk']"
avenged_sevenfold,"['Hard_rock', 'Alternative_metal', 'Heavy_metal_music', 'Metalcore', 'Progressive_metal']"
tokio_hotel,"['Electronic_rock', 'Alternative_rock', 'Pop_punk', 'Pop_rock', 'Emo']"
the_medic_droid,"['Dance-pop', 'Synthpop', 'Crunkcore', 'Alternative_dance']"
get_scared,"['Alternative_metal', 'Emo_pop', 'Metalcore', 'Post-hardcore']"
from_aphony,
criss_angel,
brokencyde,['Crunkcore']
stephen_jerzak,['Acoustic_music']
the_ready_set,"['Indie_pop', 'Electropop', 'Synth-pop', 'Pop_music']"
charlie_brown_jr.,"['Rap_rock', 'Crossover_thrash', 'Skate_punk', 'Reggae_rock', 'Pop_rock', 'Alternative_rock', 'Hip_hop_music', 'Ska_punk', 'Hardcore_punk', 'Melodic_hardcore', 'Rapcore', 'Funk_rock', 'Pop_punk']"
bratz,
jennette_mccurdy,
aly_&_aj,"['Pop_rock', 'Indie_pop', 'Synth-pop']"
everlife,"['Contemporary_christian_music', 'Power_pop', 'Pop_rock']"
weird_al_yankovic,
liz_phair,"['Alternative_rock', 'Pop_rock', 'Lo-fi_music', 'Indie_rock']"
iamamiwhoami,
bowling_for_soup,"['Pop_punk', 'Pop_rock', 'Alternative_rock', 'Power_pop']"
victoria_justice,
orianthi,"['Rock_music', 'Alternative_metal', 'Blues_rock', 'Hard_rock', 'Alternative_rock', 'Pop_rock', 'Pop_punk']"
keke_palmer,
christy_carlson_romano,
dolly_parton,
susan_egan/vaneese_thomas/cheryl_freeman/lachanze/lillias_white,
billy_ray_cyrus,
lady_gaga_vs._madonna,
sterling_knight,
future_pop_stars_united,
clint_mansell,"['Grebo_rock', 'Classical_music', 'Film_score', 'Industrial_rock', 'Electronic_music', 'Alternative_rock']"
puscifer,"['Alternative_rock', 'Trip_hop', 'Electronic_rock', 'Experimental_rock', 'Post-industrial_music', 'Ambient_music']"
eicca_toppinen,"['Symphonic_metal', 'Progressive_metal']"
the_cult,"['Hard_rock', 'Gothic_rock', 'Heavy_metal_music', 'Post-punk']"
unheilig,"['Neue_Deutsche_H?rte', 'Pop_rock', 'Electronic_music', 'Gothic_rock']"
hans_zimmer,
black_light_burns,"['Industrial_rock', 'Alternative_metal', 'Shock_rock']"
dead_can_dance,"['Neoclassical_dark_wave', 'Avant-garde', 'Post-punk', 'Gothic_rock', 'Art_rock', 'World_music']"
philip_glass,"['Film_score', 'Contemporary_classical_music', 'Minimal_music']"
brian_eno,"['Rock_music', 'Electronic_music', 'Ambient_music', 'Experimental_music']"
therion,
eisbrecher,"['Neue_Deutsche_H?rte', 'Industrial_metal', 'Electronic_rock', 'German_rock', 'Gothic_rock']"
megaherz,['Neue_Deutsche_Härte']
dave_gahan,"['Alternative_rock', 'New_wave_music', 'Industrial_rock', 'Synthpop', 'Electronic_music', 'Alternative_dance']"
oomph!,"['Industrial_rock', 'Industrial_metal', 'Electronic_body_music', 'Neue_Deutsche_H?rte']"
lisa_gerrard,"['Classical_music', 'Gregorian_chant', 'Ethereal_wave', 'Neoclassical_dark_wave', 'Baroque_music', 'New-age_music', 'Music_of_Bulgaria', 'Avant-garde_music']"
cliff_martinez,"['Ambient_music', 'Synthwave_(2000s_genre)', 'Industrial_music', 'Experimental_rock', 'Soundtrack', 'Punk_rock', 'Funk_rock']"
peter_broderick,['Instrumental']
ani_difranco,"['Punk_rock', 'Alternative_rock', 'Indie_folk', 'Folk_rock']"
uzi_&_ari,
hauschka,
jens_lekman,
olafur_arnalds,
anathallo,['Indie_rock']
flica,
jon_foreman,
elio_e_le_storie_tese,"['Hard_rock', 'Pop_rock', 'Progressive_rock', 'Comedy_rock', 'Dance-rock']"
jóhann_jóhannsson,
piano_magic,"['Indietronica', 'Indie_rock', 'Post-rock', 'Ambient_pop']"
craig_armstrong,
teitur,
hammock,
joanna_newsom,
a_weather,['Indie_rock']
damien_jurado,['Indie_rock']
seabear,"['Indie_folk', 'Indie_pop']"
balmorhea,
do_make_say_think,['Post-rock']
soulwax,"['Alternative_rock', 'Electronic_music', 'Alternative_dance']"
frozen_silence,
soundtrack,
bobo_rondelli,
ryuichi_sakamoto,
ludovico_einaudi,"['Contemporary_classical_music', 'Film_score', 'Minimalist_music']"
goldmund,
apparat,
psapp,"['Indie_pop', 'Electronica']"
ólafur_arnalds,"['Ambient_music', 'Electronica', 'Film_score', 'Experimental_music', 'Classical_music']"
nancy_elizabeth,['Alternative_music']
does_it_offend_you_yeah?,
tom_barman,"['Alternative_rock', 'Indie_rock', 'Experimental_rock']"
mi_and_l'au,
ellen_allien,"['Tech_house', 'Intelligent_dance_music', 'Experimental_techno', 'Techno']"
whitetree,
clare_&_the_reasons,
chico_buarque,
ney_matogrosso,"['Glam_rock', 'Pop_rock', 'Folk_rock', 'Música_popular_brasileira']"
secos_&_molhados,"['Glam_rock', 'MPB:_Brazilian_popular_music', 'Progressive_rock', 'Folk_rock']"
chicas,
oswaldo_montenegro,
renato_russo,"['Alternative_rock', 'Punk_rock', 'Post-punk', 'Folk_rock']"
marcelo_camelo,
zbigniew_preisner,
maria_rita,"['Samba', 'Jazz', 'Música_popular_brasileira']"
caetano_veloso,
kevin_johansen,"['Rock_music', 'Alternative_rock', 'Pop_rock']"
little_joy,"['Indie_pop', 'Indie_rock', 'Samba', 'M?sica_popular_brasileira', 'Soft_rock', 'Alternative_rock', 'Bossa_nova']"
carla_bruni,
pato_fu,['Pop_rock']
felpeyu,"['Folk_music', 'Music_of_Galicia,_Cantabria_and_Asturias', 'Celtic_music']"
erik_satie,
rita_lee,"['Psychedelic_rock', 'Música_popular_brasileira', 'Tropicália']"
norah_jones,"['Jazz', 'Pop_music', 'Folk_music', 'Country_music']"
yoñlu,
david_nevue,['Piano']
cássia_eller,
tiê,
adam_green,
eddie_vedder,
cartola,['Samba']
libera,
emilie_simon,
jonathan_larson,
esbjörn_svensson_trio,
???????,
?-??????,
?????,
unkle,"['Alternative_rock', 'Electronica', 'Trip_hop']"
?????_??????,
5'nizza,
archive,
?????_?????,
sunsay,
schiller,
inspiral_carpets,"['Madchester', 'Alternative_rock', 'Indie_rock', 'Alternative_dance']"
sting,
nautilus_pompilius,
guano_apes,"['Funk_metal', 'Alternative_rock', 'Nu_metal']"
umaturman,
indochine,
amethystium,"['Electronica', 'Ambient_music', 'Neoclassical_dark_wave', 'New-age_music']"
nightmares_on_wax,"['Trip_hop', 'Techno']"
the_shadows,"['Instrumental_rock', 'Instrumental_surf']"
mötley_crüe,
t._rex,
suzi_quatro,
syd_barrett,
the_runaways,"['Hard_rock', 'Punk_rock', 'Glam_punk']"
ratt,"['Hard_rock', 'Glam_metal', 'Heavy_metal_music']"
stryper,"['Hard_rock', 'Glam_metal', 'Christian_metal', 'Heavy_metal_music']"
def_leppard,"['Hard_rock', 'Pop_rock', 'Heavy_metal_music', 'Arena_rock', 'Glam_metal']"
patti_smith,"['Art_punk', 'Punk_rock', 'Art_rock', 'Proto-punk']"
jerry_cantrell,"['Sludge_metal', 'Heavy_metal_music', 'Doom_metal', 'Grunge', 'Alternative_metal', 'Hard_rock']"
the_black_crowes,"['Jam_band', 'Blues_rock', 'Southern_rock', 'Hard_rock']"
sex_pistols,['Punk_rock']
extremoduro,"['Hard_rock', 'Progressive_rock', 'Symphonic_rock']"
héroes_del_silencio,
l7,
jazzanova,
love_unlimited_orchestra,
donna_summer,"['Disco', 'Dance_music', 'Contemporary_R&B', 'Soul_music', 'Rock_music']"
luther_vandross,"['Disco', 'Soul_music', 'Post-disco', 'Pop_music', 'Rhythm_and_blues']"
4hero,"['Nu_jazz', 'Broken_beat', 'Drum_and_bass', 'Breakbeat_hardcore', 'Jungle_music']"
mfsb,
zero_7,"['Ambient_music', 'Electronica', 'Chill-out_music', 'Trip_hop', 'Acid_jazz', 'Downtempo']"
the_jacksons,
isaac_hayes,
808_state,"['Techno', 'Madchester', 'Acid_house', 'Electronica', 'Alternative_dance']"
chaka_khan,"['Disco', 'Gospel_music', 'Soul_music', 'Funk', 'Pop_music', 'Rhythm_and_blues', 'Jazz']"
quincy_jones,
loose_ends,
david_sanborn,"['Rhythm_and_Blues', 'Pop_music', 'Funk_music', 'Jazz_fusion', 'Jazz', 'Rock_music']"
chic,
nina_simone,"['Rhythm_and_blues', 'Jazz', 'Folk_music', 'Classical_music', 'Blues', 'Gospel_music', 'Soul_music']"
diana_ross,
the_cinematic_orchestra,"['Nu_jazz', 'Electronic_music', 'Modern_classical', 'Downtempo']"
art_of_noise,"['Synth-pop', 'Avant-garde_music', 'Electronic_music', 'New_wave_music', 'Sampledelia']"
scott_walker,
stanton_warriors,"['House_music', 'Breakbeat', 'UK_garage']"
little_brother,
trüby_trio,
musiq,
blue_six,
teddy_pendergrass,"['Disco', 'Rhythm_and_blues', 'Soul_music', 'Funk']"
grace_jones,
roy_ayers,"['Jazz-fusion', 'Funk', 'Hip_hop_music', 'Acid_jazz', 'Disco', 'Soul_jazz', 'R&B', 'Jazz', 'House_music']"
rick_james,
minnie_riperton,
sarah_vaughan,
shawn_lee's_ping_pong_orchestra,
teena_marie,"['Funk', 'Contemporary_R&B', 'Soul_music']"
richard_wagner,
red,
blessthefall,"['Metalcore', 'Christian_metal', 'Post-hardcore', 'Screamo']"
breaking_benjamin,"['Post-grunge', 'Alternative_metal', 'Hard_rock']"
pillar,
makeshift_romeo,
yui,
thrice,"['Post-hardcore', 'Experimental_rock', 'Melodic_hardcore', 'Emo', 'Alternative_rock', 'Art_rock']"
thousand_foot_krutch,"['Christian_rock', 'Nu_metal', 'Hard_rock']"
jay-z_and_linkin_park,
heaven_shall_burn,"['Melodic_death_metal', 'Metalcore', 'Deathcore']"
sms,
hollywood_undead,"['Nu_metal', 'Post-hardcore', 'Rap_rock', 'Hard_rock']"
black_lab,['Alternative_rock']
